"","X","params","values","ExpDay","Day","Zeit","Hour","Col","QR","ID","Mod","Trial","TimeOfDay","ColID"
"117",8,"KeystoneAssPercentile",97.4475,"1","2",6,13,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 13","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"118",0,"Transitivity",0.947250559840756,"1","2",7,14,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 14","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"119",1,"Average Clustering",0.94812019581457,"1","2",7,14,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 14","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"120",2,"GlobalEfficiency",74.8404014732125,"1","2",7,14,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 14","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"121",3,"Sum",112616,"1","2",7,14,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 14","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"122",4,"Modularity",0.0664750857302666,"1","2",7,14,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 14","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"123",5,"Assortativity",-0.00248073561236431,"1","2",7,14,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 14","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"124",6,"DegreeCentralization",0.000501436778505984,"1","2",7,14,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 14","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"125",7,"KeystoneAssortativity",-0.0247714447820096,"1","2",7,14,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 14","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"126",8,"KeystoneAssPercentile",26.275,"1","2",7,14,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 14","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"127",0,"Transitivity",0.963854977317154,"1","2",8,15,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 15","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"128",1,"Average Clustering",0.964342075223298,"1","2",8,15,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 15","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"129",2,"GlobalEfficiency",80.1507338125271,"1","2",8,15,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 15","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"130",3,"Sum",121974,"1","2",8,15,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 15","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"131",4,"Modularity",0.0333740794543927,"1","2",8,15,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 15","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"132",5,"Assortativity",-0.0142285571892455,"1","2",8,15,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 15","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"133",6,"DegreeCentralization",0.000239111185758947,"1","2",8,15,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 15","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"134",7,"KeystoneAssortativity",-0.019015968979357,"1","2",8,15,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 15","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"135",8,"KeystoneAssPercentile",60.0075,"1","2",8,15,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 15","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"136",0,"Transitivity",0.936446402349486,"1","2",9,16,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 16","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"137",1,"Average Clustering",0.93749633393739,"1","2",9,16,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 16","Head_Head","RooibosTea","Day","RooibosTea TRUE"
