"","X","params","values","ExpDay","Day","Zeit","Hour","Col","QR","ID","Mod","Trial","TimeOfDay"
"121",4,"Modularity",0.028377853600831,"1","2",23,16,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"122",5,"Assortativity",-0.0374742039175051,"1","2",23,16,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"123",6,"DegreeCentralization",0.000390596382145804,"1","2",23,16,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"124",0,"Transitivity",0.93330182548591,"1","2",0,17,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"125",1,"Average Clustering",0.933798715287933,"1","2",0,17,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"126",2,"GlobalEfficiency",71.4942206902232,"1","2",0,17,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"127",3,"Sum",101168,"1","2",0,17,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"128",4,"Modularity",0.00186460993730189,"1","2",0,17,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"129",5,"Assortativity",-0.0222956371668385,"1","2",0,17,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"130",6,"DegreeCentralization",0.000464306183246569,"1","2",0,17,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"131",0,"Transitivity",0.934789075980246,"1","2",1,18,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"132",1,"Average Clustering",0.93675098459686,"1","2",1,18,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"133",2,"GlobalEfficiency",73.1475489983224,"1","2",1,18,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"134",3,"Sum",103826,"1","2",1,18,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"135",4,"Modularity",0.0444183465225114,"1","2",1,18,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"136",5,"Assortativity",-0.036937208400555,"1","2",1,18,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"137",6,"DegreeCentralization",0.00035611273604824,"1","2",1,18,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
